category,messages,total_bytes,duration_sec,msg_per_sec,bytes_per_sec,kb_per_sec
raw_telemetry,24,80664,115.15,0.21,700.49,0.684
nes_results,216,70902,115.33,1.87,614.79,0.6
nes_alerts,4,1315,94.12,0.04,13.97,0.014
