telemetry_ts,alert_received,latency_ms,field,value
1773067150882,1773067151150.666,268.67,STATUS_ID_TEMP_AMB,0.01
1773067165893,1773067166163.4119,270.41,STATUS_ID_TEMP_AMB,0.02
1773067175901,1773067176125.3171,224.32,STATUS_ID_TEMP_AMB,0.02
1773067181334,1773067181656.096,322.1,STATUS_ID_TEMP_AMB,0.02
1773067246391,1773067246660.862,269.86,STATUS_ID_TEMP_AMB,0.0
1773067251394,1773067251620.9521,226.95,STATUS_ID_TEMP_AMB,0.03
1773067256402,1773067256964.322,562.32,STATUS_ID_TEMP_AMB,0.01
1773067261409,1773067261686.483,277.48,STATUS_ID_TEMP_AMB,0.02
