second,raw_bytes,nes_results_bytes,nes_alerts_bytes
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,3364,0,0
5,0,2961,329
6,0,0,0
7,0,0,0
8,0,0,0
9,3361,0,0
10,0,2943,327
11,0,0,0
12,0,0,0
13,0,0,0
14,3367,1316,0
15,0,1645,658
16,0,0,0
17,0,0,0
18,0,0,0
19,3365,2296,0
20,0,656,0
21,0,0,0
22,0,0,0
23,0,0,0
24,3358,0,0
25,0,2952,328
26,0,0,0
27,0,0,0
28,0,0,0
29,3367,2296,0
30,0,328,0
31,0,328,0
32,0,0,0
33,0,0,0
34,3355,0,0
35,0,2952,0
36,0,0,0
37,0,0,0
38,0,0,0
39,3358,0,0
40,0,2952,328
41,0,0,0
42,0,0,0
43,0,0,0
44,3362,0,0
45,0,2952,328
46,0,0,0
47,0,0,0
48,0,0,0
49,3376,0,0
50,0,2961,0
51,0,0,0
52,0,0,0
53,0,0,0
54,3356,0,0
55,0,2961,0
56,0,0,0
57,0,0,0
58,0,0,0
59,3354,0,0
60,0,2961,329
61,0,0,0
62,0,0,0
63,0,0,0
64,3365,0,0
65,0,2296,0
66,0,656,328
67,0,0,0
68,0,0,0
69,3358,0,0
70,0,2943,0
71,0,0,0
72,0,0,0
73,0,0,0
74,3364,0,0
75,0,2961,658
76,0,0,0
77,0,0,0
78,0,0,0
79,3370,0,0
80,0,2961,329
81,0,0,0
82,0,0,0
83,0,0,0
84,3347,0,0
85,0,2961,0
86,0,0,0
87,0,0,0
88,0,0,0
89,3364,0,0
90,0,2952,328
91,0,0,0
92,0,0,0
93,0,0,0
94,3359,0,0
95,0,2961,329
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,3365,2952,328
101,0,0,0
102,0,0,0
103,0,0,0
104,3362,0,0
105,0,2961,0
106,0,0,0
107,0,0,0
108,0,0,0
109,3357,0,0
110,0,2961,329
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,3351,2952,328
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,3352,0,0
